127.0.0.1 - - [25/Jul/2018:10:54:25 +0530] "GET /Pages/frontcontactus/undefined?1532496265474 HTTP/1.1" 200 49358
127.0.0.1 - - [25/Jul/2018:10:55:18 +0530] "GET /Pages/frontcontactus/id:page5 HTTP/1.1" 200 49584
127.0.0.1 - - [25/Jul/2018:10:55:19 +0530] "GET /Pages/frontcontactus/undefined?1532496319601 HTTP/1.1" 200 49727
127.0.0.1 - - [25/Jul/2018:10:55:20 +0530] "GET /re_layout/ico/cake.icon.png HTTP/1.1" 200 943
127.0.0.1 - - [25/Jul/2018:10:55:25 +0530] "GET /Pages/frontaboutus/id:page4 HTTP/1.1" 200 59205
127.0.0.1 - - [25/Jul/2018:10:55:26 +0530] "GET /Pages/frontaboutus/undefined?1532496326401 HTTP/1.1" 200 59379
127.0.0.1 - - [25/Jul/2018:10:55:27 +0530] "GET /Pages/frontindex/id:page1 HTTP/1.1" 200 56134
127.0.0.1 - - [25/Jul/2018:10:55:29 +0530] "GET /re_layout/img/24.jpg?1532496329528 HTTP/1.1" 200 347796
127.0.0.1 - - [25/Jul/2018:10:55:29 +0530] "GET /re_layout/img/23.jpg?1532496329711 HTTP/1.1" 200 392697
127.0.0.1 - - [25/Jul/2018:10:55:35 +0530] "GET /Pages/frontaboutus/id:page4 HTTP/1.1" 200 59343
127.0.0.1 - - [25/Jul/2018:10:55:36 +0530] "GET /Pages/frontaboutus/undefined?1532496336915 HTTP/1.1" 200 59346
127.0.0.1 - - [25/Jul/2018:10:55:49 +0530] "GET /Pages/frontdownload/id:page2 HTTP/1.1" 200 58745
127.0.0.1 - - [25/Jul/2018:10:55:50 +0530] "GET /Pages/frontdownload/undefined?1532496350960 HTTP/1.1" 200 58737
127.0.0.1 - - [25/Jul/2018:10:56:16 +0530] "POST /downloads/downloadfiles/3 HTTP/1.1" 200 46064
127.0.0.1 - - [25/Jul/2018:10:56:23 +0530] "GET /Pages/frontdownload/undefined?1532496383272 HTTP/1.1" 200 58769
127.0.0.1 - - [25/Jul/2018:11:06:24 +0530] "GET /login HTTP/1.1" 200 30559
127.0.0.1 - - [25/Jul/2018:11:06:26 +0530] "GET /js/plugins/pace.min.js HTTP/1.1" 200 12507
127.0.0.1 - - [25/Jul/2018:11:06:26 +0530] "GET /js/main.js HTTP/1.1" 200 8120
127.0.0.1 - - [25/Jul/2018:11:06:25 +0530] "GET /js/bootstrap.min.js HTTP/1.1" 200 36868
127.0.0.1 - - [25/Jul/2018:11:06:25 +0530] "GET /js/jquery-2.1.4.min.js HTTP/1.1" 200 84345
127.0.0.1 - - [25/Jul/2018:11:06:25 +0530] "GET /css/main.css HTTP/1.1" 200 244932
